entrancename,day,month,year,endtime_date,day_name,day_type,entervalue,load_timestamp,business_date
Gate1,16,12,2019,2019-12-16 00:00:00.000000,Mon,Weekday,790,2024-10-30 08:51:59.000000,2024-10-30
Gate2,16,12,2019,2019-12-16 00:00:00.000000,Mon,Weekday,198,2024-10-30 08:51:59.000000,2024-10-30
Gate3,16,12,2019,2019-12-16 00:00:00.000000,Mon,Weekday,1326,2024-10-30 08:51:59.000000,2024-10-30
Lift,16,12,2019,2019-12-16 00:00:00.000000,Mon,Weekday,313,2024-10-30 08:51:59.000000,2024-10-30
A1,17,12,2019,2019-12-17 00:00:00.000000,Tue,Weekday,77,2024-10-30 08:51:59.000000,2024-10-30
B1,17,12,2019,2019-12-17 00:00:00.000000,Tue,Weekday,108,2024-10-30 08:51:59.000000,2024-10-30
Bridge,17,12,2019,2019-12-17 00:00:00.000000,Tue,Weekday,2541,2024-10-30 08:51:59.000000,2024-10-30
Gate1,17,12,2019,2019-12-17 00:00:00.000000,Tue,Weekday,1061,2024-10-30 08:51:59.000000,2024-10-30
Gate2,17,12,2019,2019-12-17 00:00:00.000000,Tue,Weekday,238,2024-10-30 08:51:59.000000,2024-10-30
Gate3,17,12,2019,2019-12-17 00:00:00.000000,Tue,Weekday,1305,2024-10-30 08:51:59.000000,2024-10-30
Lift,17,12,2019,2019-12-17 00:00:00.000000,Tue,Weekday,352,2024-10-30 08:51:59.000000,2024-10-30
A1,18,12,2019,2019-12-18 00:00:00.000000,Wed,Weekday,103,2024-10-30 08:51:59.000000,2024-10-30
B1,18,12,2019,2019-12-18 00:00:00.000000,Wed,Weekday,159,2024-10-30 08:51:59.000000,2024-10-30
Bridge,18,12,2019,2019-12-18 00:00:00.000000,Wed,Weekday,2581,2024-10-30 08:51:59.000000,2024-10-30
Gate1,18,12,2019,2019-12-18 00:00:00.000000,Wed,Weekday,983,2024-10-30 08:51:59.000000,2024-10-30
Gate2,18,12,2019,2019-12-18 00:00:00.000000,Wed,Weekday,218,2024-10-30 08:51:59.000000,2024-10-30
Gate3,18,12,2019,2019-12-18 00:00:00.000000,Wed,Weekday,1356,2024-10-30 08:51:59.000000,2024-10-30
Lift,18,12,2019,2019-12-18 00:00:00.000000,Wed,Weekday,343,2024-10-30 08:51:59.000000,2024-10-30
A1,19,12,2019,2019-12-19 00:00:00.000000,Thu,Weekday,101,2024-10-30 08:51:59.000000,2024-10-30
B1,19,12,2019,2019-12-19 00:00:00.000000,Thu,Weekday,145,2024-10-30 08:51:59.000000,2024-10-30
Bridge,19,12,2019,2019-12-19 00:00:00.000000,Thu,Weekday,2394,2024-10-30 08:51:59.000000,2024-10-30
Gate1,19,12,2019,2019-12-19 00:00:00.000000,Thu,Weekday,1050,2024-10-30 08:51:59.000000,2024-10-30
Gate2,19,12,2019,2019-12-19 00:00:00.000000,Thu,Weekday,236,2024-10-30 08:51:59.000000,2024-10-30
Gate3,19,12,2019,2019-12-19 00:00:00.000000,Thu,Weekday,1355,2024-10-30 08:51:59.000000,2024-10-30
Lift,19,12,2019,2019-12-19 00:00:00.000000,Thu,Weekday,387,2024-10-30 08:51:59.000000,2024-10-30
A1,20,12,2019,2019-12-20 00:00:00.000000,Fri,Weekday,96,2024-10-30 08:51:59.000000,2024-10-30
B1,20,12,2019,2019-12-20 00:00:00.000000,Fri,Weekday,188,2024-10-30 08:51:59.000000,2024-10-30
Bridge,20,12,2019,2019-12-20 00:00:00.000000,Fri,Weekday,2570,2024-10-30 08:51:59.000000,2024-10-30
Gate1,20,12,2019,2019-12-20 00:00:00.000000,Fri,Weekday,1255,2024-10-30 08:51:59.000000,2024-10-30
Gate2,20,12,2019,2019-12-20 00:00:00.000000,Fri,Weekday,205,2024-10-30 08:51:59.000000,2024-10-30
Gate3,20,12,2019,2019-12-20 00:00:00.000000,Fri,Weekday,1605,2024-10-30 08:51:59.000000,2024-10-30
Lift,20,12,2019,2019-12-20 00:00:00.000000,Fri,Weekday,347,2024-10-30 08:51:59.000000,2024-10-30
A1,21,12,2019,2019-12-21 00:00:00.000000,Sat,Weekend,93,2024-10-30 08:51:59.000000,2024-10-30
B1,21,12,2019,2019-12-21 00:00:00.000000,Sat,Weekend,423,2024-10-30 08:51:59.000000,2024-10-30
Bridge,21,12,2019,2019-12-21 00:00:00.000000,Sat,Weekend,3742,2024-10-30 08:51:59.000000,2024-10-30
Gate1,21,12,2019,2019-12-21 00:00:00.000000,Sat,Weekend,3640,2024-10-30 08:51:59.000000,2024-10-30
Gate2,21,12,2019,2019-12-21 00:00:00.000000,Sat,Weekend,349,2024-10-30 08:51:59.000000,2024-10-30
Gate3,21,12,2019,2019-12-21 00:00:00.000000,Sat,Weekend,1712,2024-10-30 08:51:59.000000,2024-10-30
Lift,21,12,2019,2019-12-21 00:00:00.000000,Sat,Weekend,562,2024-10-30 08:51:59.000000,2024-10-30
A1,22,12,2019,2019-12-22 00:00:00.000000,Sun,Weekend,56,2024-10-30 08:51:59.000000,2024-10-30
B1,22,12,2019,2019-12-22 00:00:00.000000,Sun,Weekend,845,2024-10-30 08:51:59.000000,2024-10-30
Bridge,22,12,2019,2019-12-22 00:00:00.000000,Sun,Weekend,3138,2024-10-30 08:51:59.000000,2024-10-30
Gate1,22,12,2019,2019-12-22 00:00:00.000000,Sun,Weekend,3410,2024-10-30 08:51:59.000000,2024-10-30
Gate2,22,12,2019,2019-12-22 00:00:00.000000,Sun,Weekend,464,2024-10-30 08:51:59.000000,2024-10-30
Gate3,22,12,2019,2019-12-22 00:00:00.000000,Sun,Weekend,1505,2024-10-30 08:51:59.000000,2024-10-30
Lift,22,12,2019,2019-12-22 00:00:00.000000,Sun,Weekend,520,2024-10-30 08:51:59.000000,2024-10-30
A1,23,12,2019,2019-12-23 00:00:00.000000,Mon,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,23,12,2019,2019-12-23 00:00:00.000000,Mon,Weekday,401,2024-10-30 08:51:59.000000,2024-10-30
Bridge,23,12,2019,2019-12-23 00:00:00.000000,Mon,Weekday,2387,2024-10-30 08:51:59.000000,2024-10-30
Gate1,23,12,2019,2019-12-23 00:00:00.000000,Mon,Weekday,799,2024-10-30 08:51:59.000000,2024-10-30
Gate2,23,12,2019,2019-12-23 00:00:00.000000,Mon,Weekday,250,2024-10-30 08:51:59.000000,2024-10-30
Gate3,23,12,2019,2019-12-23 00:00:00.000000,Mon,Weekday,1363,2024-10-30 08:51:59.000000,2024-10-30
Lift,23,12,2019,2019-12-23 00:00:00.000000,Mon,Weekday,346,2024-10-30 08:51:59.000000,2024-10-30
A1,24,12,2019,2019-12-24 00:00:00.000000,Tue,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,24,12,2019,2019-12-24 00:00:00.000000,Tue,Weekday,485,2024-10-30 08:51:59.000000,2024-10-30
Bridge,24,12,2019,2019-12-24 00:00:00.000000,Tue,Weekday,2484,2024-10-30 08:51:59.000000,2024-10-30
Gate1,24,12,2019,2019-12-24 00:00:00.000000,Tue,Weekday,968,2024-10-30 08:51:59.000000,2024-10-30
Gate2,24,12,2019,2019-12-24 00:00:00.000000,Tue,Weekday,224,2024-10-30 08:51:59.000000,2024-10-30
Gate3,24,12,2019,2019-12-24 00:00:00.000000,Tue,Weekday,1378,2024-10-30 08:51:59.000000,2024-10-30
Lift,24,12,2019,2019-12-24 00:00:00.000000,Tue,Weekday,361,2024-10-30 08:51:59.000000,2024-10-30
A1,25,12,2019,2019-12-25 00:00:00.000000,Wed,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,25,12,2019,2019-12-25 00:00:00.000000,Wed,Weekday,461,2024-10-30 08:51:59.000000,2024-10-30
Bridge,25,12,2019,2019-12-25 00:00:00.000000,Wed,Weekday,2475,2024-10-30 08:51:59.000000,2024-10-30
Gate1,25,12,2019,2019-12-25 00:00:00.000000,Wed,Weekday,904,2024-10-30 08:51:59.000000,2024-10-30
Gate2,25,12,2019,2019-12-25 00:00:00.000000,Wed,Weekday,198,2024-10-30 08:51:59.000000,2024-10-30
Gate3,25,12,2019,2019-12-25 00:00:00.000000,Wed,Weekday,1420,2024-10-30 08:51:59.000000,2024-10-30
Lift,25,12,2019,2019-12-25 00:00:00.000000,Wed,Weekday,354,2024-10-30 08:51:59.000000,2024-10-30
A1,26,12,2019,2019-12-26 00:00:00.000000,Thu,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,26,12,2019,2019-12-26 00:00:00.000000,Thu,Weekday,488,2024-10-30 08:51:59.000000,2024-10-30
Bridge,26,12,2019,2019-12-26 00:00:00.000000,Thu,Weekday,2662,2024-10-30 08:51:59.000000,2024-10-30
Gate1,26,12,2019,2019-12-26 00:00:00.000000,Thu,Weekday,1014,2024-10-30 08:51:59.000000,2024-10-30
Gate2,26,12,2019,2019-12-26 00:00:00.000000,Thu,Weekday,205,2024-10-30 08:51:59.000000,2024-10-30
Gate3,26,12,2019,2019-12-26 00:00:00.000000,Thu,Weekday,1359,2024-10-30 08:51:59.000000,2024-10-30
Lift,26,12,2019,2019-12-26 00:00:00.000000,Thu,Weekday,364,2024-10-30 08:51:59.000000,2024-10-30
A1,27,12,2019,2019-12-27 00:00:00.000000,Fri,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,27,12,2019,2019-12-27 00:00:00.000000,Fri,Weekday,497,2024-10-30 08:51:59.000000,2024-10-30
Bridge,27,12,2019,2019-12-27 00:00:00.000000,Fri,Weekday,2893,2024-10-30 08:51:59.000000,2024-10-30
Gate1,27,12,2019,2019-12-27 00:00:00.000000,Fri,Weekday,1234,2024-10-30 08:51:59.000000,2024-10-30
Gate2,27,12,2019,2019-12-27 00:00:00.000000,Fri,Weekday,278,2024-10-30 08:51:59.000000,2024-10-30
Gate3,27,12,2019,2019-12-27 00:00:00.000000,Fri,Weekday,1451,2024-10-30 08:51:59.000000,2024-10-30
Lift,27,12,2019,2019-12-27 00:00:00.000000,Fri,Weekday,437,2024-10-30 08:51:59.000000,2024-10-30
A1,28,12,2019,2019-12-28 00:00:00.000000,Sat,Weekend,0,2024-10-30 08:51:59.000000,2024-10-30
B1,28,12,2019,2019-12-28 00:00:00.000000,Sat,Weekend,1308,2024-10-30 08:51:59.000000,2024-10-30
Bridge,28,12,2019,2019-12-28 00:00:00.000000,Sat,Weekend,2120,2024-10-30 08:51:59.000000,2024-10-30
Gate1,28,12,2019,2019-12-28 00:00:00.000000,Sat,Weekend,3198,2024-10-30 08:51:59.000000,2024-10-30
Gate2,28,12,2019,2019-12-28 00:00:00.000000,Sat,Weekend,484,2024-10-30 08:51:59.000000,2024-10-30
Gate3,28,12,2019,2019-12-28 00:00:00.000000,Sat,Weekend,1148,2024-10-30 08:51:59.000000,2024-10-30
Lift,28,12,2019,2019-12-28 00:00:00.000000,Sat,Weekend,341,2024-10-30 08:51:59.000000,2024-10-30
A1,29,12,2019,2019-12-29 00:00:00.000000,Sun,Weekend,0,2024-10-30 08:51:59.000000,2024-10-30
B1,29,12,2019,2019-12-29 00:00:00.000000,Sun,Weekend,1281,2024-10-30 08:51:59.000000,2024-10-30
Bridge,29,12,2019,2019-12-29 00:00:00.000000,Sun,Weekend,1917,2024-10-30 08:51:59.000000,2024-10-30
Gate1,29,12,2019,2019-12-29 00:00:00.000000,Sun,Weekend,2849,2024-10-30 08:51:59.000000,2024-10-30
Gate2,29,12,2019,2019-12-29 00:00:00.000000,Sun,Weekend,517,2024-10-30 08:51:59.000000,2024-10-30
Gate3,29,12,2019,2019-12-29 00:00:00.000000,Sun,Weekend,1084,2024-10-30 08:51:59.000000,2024-10-30
Lift,29,12,2019,2019-12-29 00:00:00.000000,Sun,Weekend,316,2024-10-30 08:51:59.000000,2024-10-30
A1,30,12,2019,2019-12-30 00:00:00.000000,Mon,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,30,12,2019,2019-12-30 00:00:00.000000,Mon,Weekday,280,2024-10-30 08:51:59.000000,2024-10-30
Bridge,30,12,2019,2019-12-30 00:00:00.000000,Mon,Weekday,1588,2024-10-30 08:51:59.000000,2024-10-30
Gate1,30,12,2019,2019-12-30 00:00:00.000000,Mon,Weekday,747,2024-10-30 08:51:59.000000,2024-10-30
Gate2,30,12,2019,2019-12-30 00:00:00.000000,Mon,Weekday,277,2024-10-30 08:51:59.000000,2024-10-30
Gate3,30,12,2019,2019-12-30 00:00:00.000000,Mon,Weekday,672,2024-10-30 08:51:59.000000,2024-10-30
Lift,30,12,2019,2019-12-30 00:00:00.000000,Mon,Weekday,250,2024-10-30 08:51:59.000000,2024-10-30
A1,31,12,2019,2019-12-31 00:00:00.000000,Tue,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,31,12,2019,2019-12-31 00:00:00.000000,Tue,Weekday,286,2024-10-30 08:51:59.000000,2024-10-30
Bridge,31,12,2019,2019-12-31 00:00:00.000000,Tue,Weekday,1340,2024-10-30 08:51:59.000000,2024-10-30
Gate1,31,12,2019,2019-12-31 00:00:00.000000,Tue,Weekday,712,2024-10-30 08:51:59.000000,2024-10-30
Gate2,31,12,2019,2019-12-31 00:00:00.000000,Tue,Weekday,338,2024-10-30 08:51:59.000000,2024-10-30
Gate3,31,12,2019,2019-12-31 00:00:00.000000,Tue,Weekday,598,2024-10-30 08:51:59.000000,2024-10-30
Lift,31,12,2019,2019-12-31 00:00:00.000000,Tue,Weekday,174,2024-10-30 08:51:59.000000,2024-10-30
A1,1,1,2020,2020-01-01 00:00:00.000000,Wed,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,1,1,2020,2020-01-01 00:00:00.000000,Wed,Weekday,281,2024-10-30 08:51:59.000000,2024-10-30
Bridge,1,1,2020,2020-01-01 00:00:00.000000,Wed,Weekday,1199,2024-10-30 08:51:59.000000,2024-10-30
Gate1,1,1,2020,2020-01-01 00:00:00.000000,Wed,Weekday,602,2024-10-30 08:51:59.000000,2024-10-30
Gate2,1,1,2020,2020-01-01 00:00:00.000000,Wed,Weekday,309,2024-10-30 08:51:59.000000,2024-10-30
Gate3,1,1,2020,2020-01-01 00:00:00.000000,Wed,Weekday,554,2024-10-30 08:51:59.000000,2024-10-30
Lift,1,1,2020,2020-01-01 00:00:00.000000,Wed,Weekday,217,2024-10-30 08:51:59.000000,2024-10-30
A1,2,1,2020,2020-01-02 00:00:00.000000,Thu,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,2,1,2020,2020-01-02 00:00:00.000000,Thu,Weekday,608,2024-10-30 08:51:59.000000,2024-10-30
Bridge,2,1,2020,2020-01-02 00:00:00.000000,Thu,Weekday,2647,2024-10-30 08:51:59.000000,2024-10-30
Gate1,2,1,2020,2020-01-02 00:00:00.000000,Thu,Weekday,941,2024-10-30 08:51:59.000000,2024-10-30
Gate2,2,1,2020,2020-01-02 00:00:00.000000,Thu,Weekday,339,2024-10-30 08:51:59.000000,2024-10-30
Gate3,2,1,2020,2020-01-02 00:00:00.000000,Thu,Weekday,1240,2024-10-30 08:51:59.000000,2024-10-30
Lift,2,1,2020,2020-01-02 00:00:00.000000,Thu,Weekday,373,2024-10-30 08:51:59.000000,2024-10-30
A1,3,1,2020,2020-01-03 00:00:00.000000,Fri,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,3,1,2020,2020-01-03 00:00:00.000000,Fri,Weekday,678,2024-10-30 08:51:59.000000,2024-10-30
Bridge,3,1,2020,2020-01-03 00:00:00.000000,Fri,Weekday,2816,2024-10-30 08:51:59.000000,2024-10-30
Gate1,3,1,2020,2020-01-03 00:00:00.000000,Fri,Weekday,1167,2024-10-30 08:51:59.000000,2024-10-30
Gate2,3,1,2020,2020-01-03 00:00:00.000000,Fri,Weekday,353,2024-10-30 08:51:59.000000,2024-10-30
Gate3,3,1,2020,2020-01-03 00:00:00.000000,Fri,Weekday,1448,2024-10-30 08:51:59.000000,2024-10-30
Lift,3,1,2020,2020-01-03 00:00:00.000000,Fri,Weekday,388,2024-10-30 08:51:59.000000,2024-10-30
A1,4,1,2020,2020-01-04 00:00:00.000000,Sat,Weekend,0,2024-10-30 08:51:59.000000,2024-10-30
B1,4,1,2020,2020-01-04 00:00:00.000000,Sat,Weekend,1748,2024-10-30 08:51:59.000000,2024-10-30
Bridge,4,1,2020,2020-01-04 00:00:00.000000,Sat,Weekend,4173,2024-10-30 08:51:59.000000,2024-10-30
Gate1,4,1,2020,2020-01-04 00:00:00.000000,Sat,Weekend,3554,2024-10-30 08:51:59.000000,2024-10-30
Gate2,4,1,2020,2020-01-04 00:00:00.000000,Sat,Weekend,664,2024-10-30 08:51:59.000000,2024-10-30
Gate3,4,1,2020,2020-01-04 00:00:00.000000,Sat,Weekend,1855,2024-10-30 08:51:59.000000,2024-10-30
Lift,4,1,2020,2020-01-04 00:00:00.000000,Sat,Weekend,680,2024-10-30 08:51:59.000000,2024-10-30
A1,5,1,2020,2020-01-05 00:00:00.000000,Sun,Weekend,0,2024-10-30 08:51:59.000000,2024-10-30
B1,5,1,2020,2020-01-05 00:00:00.000000,Sun,Weekend,1665,2024-10-30 08:51:59.000000,2024-10-30
Bridge,5,1,2020,2020-01-05 00:00:00.000000,Sun,Weekend,3500,2024-10-30 08:51:59.000000,2024-10-30
Gate1,5,1,2020,2020-01-05 00:00:00.000000,Sun,Weekend,3367,2024-10-30 08:51:59.000000,2024-10-30
Gate2,5,1,2020,2020-01-05 00:00:00.000000,Sun,Weekend,750,2024-10-30 08:51:59.000000,2024-10-30
Gate3,5,1,2020,2020-01-05 00:00:00.000000,Sun,Weekend,1743,2024-10-30 08:51:59.000000,2024-10-30
Lift,5,1,2020,2020-01-05 00:00:00.000000,Sun,Weekend,657,2024-10-30 08:51:59.000000,2024-10-30
A1,6,1,2020,2020-01-06 00:00:00.000000,Mon,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,6,1,2020,2020-01-06 00:00:00.000000,Mon,Weekday,546,2024-10-30 08:51:59.000000,2024-10-30
Bridge,6,1,2020,2020-01-06 00:00:00.000000,Mon,Weekday,2355,2024-10-30 08:51:59.000000,2024-10-30
Gate1,6,1,2020,2020-01-06 00:00:00.000000,Mon,Weekday,927,2024-10-30 08:51:59.000000,2024-10-30
Gate2,6,1,2020,2020-01-06 00:00:00.000000,Mon,Weekday,274,2024-10-30 08:51:59.000000,2024-10-30
Gate3,6,1,2020,2020-01-06 00:00:00.000000,Mon,Weekday,1380,2024-10-30 08:51:59.000000,2024-10-30
Lift,6,1,2020,2020-01-06 00:00:00.000000,Mon,Weekday,397,2024-10-30 08:51:59.000000,2024-10-30
A1,7,1,2020,2020-01-07 00:00:00.000000,Tue,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,7,1,2020,2020-01-07 00:00:00.000000,Tue,Weekday,605,2024-10-30 08:51:59.000000,2024-10-30
Bridge,7,1,2020,2020-01-07 00:00:00.000000,Tue,Weekday,2659,2024-10-30 08:51:59.000000,2024-10-30
Gate1,7,1,2020,2020-01-07 00:00:00.000000,Tue,Weekday,1134,2024-10-30 08:51:59.000000,2024-10-30
Gate2,7,1,2020,2020-01-07 00:00:00.000000,Tue,Weekday,311,2024-10-30 08:51:59.000000,2024-10-30
Gate3,7,1,2020,2020-01-07 00:00:00.000000,Tue,Weekday,1445,2024-10-30 08:51:59.000000,2024-10-30
Lift,7,1,2020,2020-01-07 00:00:00.000000,Tue,Weekday,383,2024-10-30 08:51:59.000000,2024-10-30
A1,8,1,2020,2020-01-08 00:00:00.000000,Wed,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,8,1,2020,2020-01-08 00:00:00.000000,Wed,Weekday,608,2024-10-30 08:51:59.000000,2024-10-30
Bridge,8,1,2020,2020-01-08 00:00:00.000000,Wed,Weekday,2627,2024-10-30 08:51:59.000000,2024-10-30
Gate1,8,1,2020,2020-01-08 00:00:00.000000,Wed,Weekday,1000,2024-10-30 08:51:59.000000,2024-10-30
Gate2,8,1,2020,2020-01-08 00:00:00.000000,Wed,Weekday,304,2024-10-30 08:51:59.000000,2024-10-30
Gate3,8,1,2020,2020-01-08 00:00:00.000000,Wed,Weekday,1357,2024-10-30 08:51:59.000000,2024-10-30
Lift,8,1,2020,2020-01-08 00:00:00.000000,Wed,Weekday,332,2024-10-30 08:51:59.000000,2024-10-30
A1,9,1,2020,2020-01-09 00:00:00.000000,Thu,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,9,1,2020,2020-01-09 00:00:00.000000,Thu,Weekday,557,2024-10-30 08:51:59.000000,2024-10-30
Bridge,9,1,2020,2020-01-09 00:00:00.000000,Thu,Weekday,2678,2024-10-30 08:51:59.000000,2024-10-30
Gate1,9,1,2020,2020-01-09 00:00:00.000000,Thu,Weekday,1128,2024-10-30 08:51:59.000000,2024-10-30
Gate2,9,1,2020,2020-01-09 00:00:00.000000,Thu,Weekday,288,2024-10-30 08:51:59.000000,2024-10-30
Gate3,9,1,2020,2020-01-09 00:00:00.000000,Thu,Weekday,1455,2024-10-30 08:51:59.000000,2024-10-30
Lift,9,1,2020,2020-01-09 00:00:00.000000,Thu,Weekday,370,2024-10-30 08:51:59.000000,2024-10-30
A1,10,1,2020,2020-01-10 00:00:00.000000,Fri,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,10,1,2020,2020-01-10 00:00:00.000000,Fri,Weekday,596,2024-10-30 08:51:59.000000,2024-10-30
Bridge,10,1,2020,2020-01-10 00:00:00.000000,Fri,Weekday,2725,2024-10-30 08:51:59.000000,2024-10-30
Gate1,10,1,2020,2020-01-10 00:00:00.000000,Fri,Weekday,1245,2024-10-30 08:51:59.000000,2024-10-30
Gate2,10,1,2020,2020-01-10 00:00:00.000000,Fri,Weekday,355,2024-10-30 08:51:59.000000,2024-10-30
Gate3,10,1,2020,2020-01-10 00:00:00.000000,Fri,Weekday,1580,2024-10-30 08:51:59.000000,2024-10-30
Lift,10,1,2020,2020-01-10 00:00:00.000000,Fri,Weekday,416,2024-10-30 08:51:59.000000,2024-10-30
A1,11,1,2020,2020-01-11 00:00:00.000000,Sat,Weekend,0,2024-10-30 08:51:59.000000,2024-10-30
B1,11,1,2020,2020-01-11 00:00:00.000000,Sat,Weekend,1698,2024-10-30 08:51:59.000000,2024-10-30
Bridge,11,1,2020,2020-01-11 00:00:00.000000,Sat,Weekend,4237,2024-10-30 08:51:59.000000,2024-10-30
Gate1,11,1,2020,2020-01-11 00:00:00.000000,Sat,Weekend,3889,2024-10-30 08:51:59.000000,2024-10-30
Gate2,11,1,2020,2020-01-11 00:00:00.000000,Sat,Weekend,723,2024-10-30 08:51:59.000000,2024-10-30
Gate3,11,1,2020,2020-01-11 00:00:00.000000,Sat,Weekend,1789,2024-10-30 08:51:59.000000,2024-10-30
Lift,11,1,2020,2020-01-11 00:00:00.000000,Sat,Weekend,631,2024-10-30 08:51:59.000000,2024-10-30
A1,12,1,2020,2020-01-12 00:00:00.000000,Sun,Weekend,0,2024-10-30 08:51:59.000000,2024-10-30
B1,12,1,2020,2020-01-12 00:00:00.000000,Sun,Weekend,1758,2024-10-30 08:51:59.000000,2024-10-30
Bridge,12,1,2020,2020-01-12 00:00:00.000000,Sun,Weekend,3319,2024-10-30 08:51:59.000000,2024-10-30
Gate1,12,1,2020,2020-01-12 00:00:00.000000,Sun,Weekend,3715,2024-10-30 08:51:59.000000,2024-10-30
Gate2,12,1,2020,2020-01-12 00:00:00.000000,Sun,Weekend,673,2024-10-30 08:51:59.000000,2024-10-30
Gate3,12,1,2020,2020-01-12 00:00:00.000000,Sun,Weekend,1663,2024-10-30 08:51:59.000000,2024-10-30
Lift,12,1,2020,2020-01-12 00:00:00.000000,Sun,Weekend,585,2024-10-30 08:51:59.000000,2024-10-30
A1,13,1,2020,2020-01-13 00:00:00.000000,Mon,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,13,1,2020,2020-01-13 00:00:00.000000,Mon,Weekday,509,2024-10-30 08:51:59.000000,2024-10-30
Bridge,13,1,2020,2020-01-13 00:00:00.000000,Mon,Weekday,2200,2024-10-30 08:51:59.000000,2024-10-30
Gate1,13,1,2020,2020-01-13 00:00:00.000000,Mon,Weekday,855,2024-10-30 08:51:59.000000,2024-10-30
Gate2,13,1,2020,2020-01-13 00:00:00.000000,Mon,Weekday,287,2024-10-30 08:51:59.000000,2024-10-30
Gate3,13,1,2020,2020-01-13 00:00:00.000000,Mon,Weekday,1262,2024-10-30 08:51:59.000000,2024-10-30
Lift,13,1,2020,2020-01-13 00:00:00.000000,Mon,Weekday,376,2024-10-30 08:51:59.000000,2024-10-30
A1,14,1,2020,2020-01-14 00:00:00.000000,Tue,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,14,1,2020,2020-01-14 00:00:00.000000,Tue,Weekday,582,2024-10-30 08:51:59.000000,2024-10-30
Bridge,14,1,2020,2020-01-14 00:00:00.000000,Tue,Weekday,2602,2024-10-30 08:51:59.000000,2024-10-30
Gate1,14,1,2020,2020-01-14 00:00:00.000000,Tue,Weekday,1091,2024-10-30 08:51:59.000000,2024-10-30
Gate2,14,1,2020,2020-01-14 00:00:00.000000,Tue,Weekday,327,2024-10-30 08:51:59.000000,2024-10-30
Gate3,14,1,2020,2020-01-14 00:00:00.000000,Tue,Weekday,1377,2024-10-30 08:51:59.000000,2024-10-30
Lift,14,1,2020,2020-01-14 00:00:00.000000,Tue,Weekday,377,2024-10-30 08:51:59.000000,2024-10-30
A1,15,1,2020,2020-01-15 00:00:00.000000,Wed,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,15,1,2020,2020-01-15 00:00:00.000000,Wed,Weekday,622,2024-10-30 08:51:59.000000,2024-10-30
Bridge,15,1,2020,2020-01-15 00:00:00.000000,Wed,Weekday,2681,2024-10-30 08:51:59.000000,2024-10-30
Gate1,15,1,2020,2020-01-15 00:00:00.000000,Wed,Weekday,1124,2024-10-30 08:51:59.000000,2024-10-30
Gate2,15,1,2020,2020-01-15 00:00:00.000000,Wed,Weekday,302,2024-10-30 08:51:59.000000,2024-10-30
Gate3,15,1,2020,2020-01-15 00:00:00.000000,Wed,Weekday,1427,2024-10-30 08:51:59.000000,2024-10-30
Lift,15,1,2020,2020-01-15 00:00:00.000000,Wed,Weekday,340,2024-10-30 08:51:59.000000,2024-10-30
A1,16,1,2020,2020-01-16 00:00:00.000000,Thu,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,16,1,2020,2020-01-16 00:00:00.000000,Thu,Weekday,655,2024-10-30 08:51:59.000000,2024-10-30
Bridge,16,1,2020,2020-01-16 00:00:00.000000,Thu,Weekday,3177,2024-10-30 08:51:59.000000,2024-10-30
Gate1,16,1,2020,2020-01-16 00:00:00.000000,Thu,Weekday,1114,2024-10-30 08:51:59.000000,2024-10-30
Gate2,16,1,2020,2020-01-16 00:00:00.000000,Thu,Weekday,390,2024-10-30 08:51:59.000000,2024-10-30
Gate3,16,1,2020,2020-01-16 00:00:00.000000,Thu,Weekday,1577,2024-10-30 08:51:59.000000,2024-10-30
Lift,16,1,2020,2020-01-16 00:00:00.000000,Thu,Weekday,449,2024-10-30 08:51:59.000000,2024-10-30
A1,17,1,2020,2020-01-17 00:00:00.000000,Fri,Weekday,0,2024-10-30 08:51:59.000000,2024-10-30
B1,17,1,2020,2020-01-17 00:00:00.000000,Fri,Weekday,627,2024-10-30 08:51:59.000000,2024-10-30
Bridge,17,1,2020,2020-01-17 00:00:00.000000,Fri,Weekday,2504,2024-10-30 08:51:59.000000,2024-10-30
Gate1,17,1,2020,2020-01-17 00:00:00.000000,Fri,Weekday,1111,2024-10-30 08:51:59.000000,2024-10-30
Gate2,17,1,2020,2020-01-17 00:00:00.000000,Fri,Weekday,340,2024-10-30 08:51:59.000000,2024-10-30
